date,yval,movA=7,movStD=7,movZscore=7
1/2/2019,17.592,47.59605,59.19871906897564,-0.5068361355089568
1/3/2019,9.1302,39.4415,55.40376714931937,-0.547098176885836
1/4/2019,13.662,34.84891666666666,51.60852920769385,-0.41053130154904893
1/5/2019,150.0,30.491685714285712,48.95775308209047,2.4410498187146654
1/6/2019,6.8233,29.69282857142857,49.20671331639658,-0.4647643996130915
1/7/2019,11.886,29.331185714285713,49.365554835661,-0.3533878181327266
1/8/2019,4.3483,27.924699999999998,49.92899146130289,-0.4721986026549869
1/9/2019,12.0,6.9607285714285725,3.3862330135477703,1.4881644022753655
10/10/2019,6.5987,8.20097142857143,4.511640331635581,-0.3551416581983092
1/11/2019,3.8166,10.788685714285716,8.92211252922096,-0.7814388903358168
11/12/2019,3.2522,11.199757142857143,8.678885480760952,-0.9157347634641577
1/13/2019,15.505,11.066383333333334,9.367623784862532,0.4738252483878762
12/14/2019,30.0,11.95992,10.025587454189406,1.7994037838113484
1/15/2019,7.2258,13.99575,10.242923694312086,-0.6609392202891607
